nationality,avg_age
jewish,47.431372549019606
celtic_english,47.2078125
nordic,47.03021148036254
greek,44.729729729729726
european,44.58610768598438
hispanic,42.62483039348711
african,41.625
muslim,40.74353205849269
south_asian,38.342258440046564
east_asian,34.22659780503551
