c_name,c_id
Secretaria de Educação do Estado do Ceará,282
UniCamp,283
EMBRAPA Ceará - Agroindustria Tropical - Desafios para o futuro,284
SIEG - Sociedade Internacional para Excelencia Gerencial,285
UNIFIAN - Faculdades Integradas Anhanguera,286
UNIBAN BRASIL - Universidade Bandeirante,287
ELOS Espiritualidade e Liderança para Organizações Saudáveis,288
Universidade Federal de São Carlos,289
"Universidade Federal de São Carlos - ""UFSCAR Constroi seu Futuro em Diálogo com a Sociedade""",290
Centro Universitário Salesiano de São Paulo,291
UNITALO - Centro Universitario Italo Brasileiro,292
CATI - Coordenadoria de Assistência Técnica Integral,293
The World Cafe - Café Diálogo,294
Coelba,295
Sofhar,296
Sinapse - Jogo da Cidadania,297
CPFL Energia,298
SEBRAE,299
Unilever,300
Grupo Store,301
Votorantim Cimentos,302
Instituto Ethos,303
Sistema Fiep,304
Universidade Federal de São Paulo,305
Senac,306
ABRH-RJ,307
Industria Quimica Solvay Indupa do Brasil,308
Whirlpool Corporation,309
SPU - Secretaria do Patrimonio da Uniao,310
MetoKote Corporation,311
Grupo Full Jazz,312
RNP,313
Boehringer Ingelheim,314
SISTEMA Faculdade de Medicina USP - Universidade de São Paulo e Hospital das Clinicas,315
DNV GL,316
Doutores da Alegria,317
"Green Lighting Solutions, Philips",318
Grupo Algar,319
INSTITUTO ALANA,320
Alergoclinica,321
Claro Brasil,322
Wipro Limited,323
Catalyst Production,324
Creative Instore Solutions,325
Self-employed,326
Relationships Australia NSW,327
Boxwave,328
Sila Solutions Group,329
USAA,330
ManpowerGroup,331
Patsystems,332
Wincor Nixdorf,333
Three.,334
JP Morgan Chase/Washington Mutual,335
Aerotek/Nintendo,336
Outerwall,337
Evergreen Home Loans NMLS 3182,338
TCS\Microsoft,339
Cognizant,340
Blue Shield of California,341
Costco Wholesale,342
Wickedland.com & Instrife.com,343
EnSite Incorporated,344
Polytope Records,345
National Center for Supercomputing Applications,346
"HRL Laboratories, LLC",347
General Motors,348
Groupon,349
Twitter,350
Shuffle Master,351
Diamond Resorts International®,352
HP,353
NOVO Engineering,354
"Sigma Design, Product Design and Engineering",355
Wunderman,356
Microland Limited,357
vCustomer,358
Wipro Ltd. - India,359
HCL Comnet Limited,360
Accenture,361
NewsCorp/ MCI Internet Ventures,362
Young & Rubicam New Technologies/ Brand Dialogue/ Luminant Worldwide,363
Organic,364
BrandWizard Technologies (Interbrand),365
9/11 Unitied Services Group (funded by the September 11th Fund),366
RAPP,367
Digitas Health,368
Virtual University International,369
SapientRazorfish,370
SBI.Razorfish,371
The New York Times,372
Bundle,373
Capital One,374
Intergen,375
Squiz,376
IDC S.p.A,377
Raise Foundation,378
Attachmate,379
SAP,380
Informatica,381
AT&T,382
Ivy Softworks,383
Valley Cafe,384
Ellensburg Community Radio,385
Xeddi,386
University of Toronto,387
bGlobal Interactive,388
Insightin | Technology (desme),389
Gumbuya Inc.,390
InterAction,391
Belkin International,392
"EVA Automation, Inc.",393
Indian Aluminium,394
SAS Institute India,395
"Headquarters Royal Netherlands Army, 1st Army Corps",396
Microsoft International Product Group,397
TKS The Training Company,398
Info Opleiders,399
Canal+ Technologies,400
Eternal Systems,401
Aventail,402
Software Box Ltd,403
Salesforce,404
Office of the Director of Public Prosecutions,405
Commonwealth Bank,406
Facilitate Digital,407
Bullseye,408
Object Consulting,409
MullenLowe Profero,410
Technocrat,411
Avago Technologies,412
Siemens,413
WURT,414
IssueLive,415
Staq Inc.,416
FOVE,417
SAM Labs,418
Reemo,419
TruRating,420
Microsoft Game Studios Ireland,421
Unum,422
"PlayFirst, Inc.",423
Glu Mobile,424
Cambridge Centers,425
FIlière Ingénieur Entreprendre de l'INSA,426
IDTACTILE,427
GoneToLyon,428
Teliae,429
SlowMove,430
Auto entrepreneur,431
Sopra Steria,432
EPSI,433
Xamarin Student Partner,434
Shapr,435
Cellenza,436
STEERING SISTEMI DIREZIONALI,437
TXT e-solutions,438
SDG Group,439
Altran,440
Broadcaster Ineractive Group,441
