m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:149435456,57.57,63.829,57.57,0.421,0.421,0.421,67.662,77.536,Normal,7.7350483,-5.195693,12.394546,100.0,0.0,0.0,0.0,0.734,3.295,34.366,1.411
urn:li:member:229333701,61.982,62.304,61.982,0.249,0.249,0.249,94.064,73.185,Normal,-0.36690667,-6.3737774,1.7485394,100.0,0.0,0.0,0.0,13.554,2.534,1.226,20.78
urn:li:member:40477324,81.561,81.561,79.763,0.568,0.568,0.568,93.239,68.108,None,4.4533515,7.705469,-1.5286509,100.0,0.0,0.0,0.0,0.994,1.94,88.875,8.978
urn:li:member:21247690,42.433,42.433,38.245,0.115,0.115,0.115,94.165,95.088,None,0.18015136,3.3265357,1.6755998,0.006,99.994,0.0,0.0,5.178,2.393,16.334,13.211
urn:li:member:242690712,58.47,60.259,58.47,0.071,0.071,0.071,84.788,85.267,Normal,2.7909825,-2.125828,-8.721786,0.0,100.0,0.0,0.0,24.581,10.069,1.018,24.423
urn:li:member:13199963,72.897,71.899,72.897,0.633,0.633,0.633,66.633,92.296,None,16.78602,-4.536727,9.0055275,99.844,0.0,0.0,0.156,0.381,97.194,5.489,0.877
urn:li:member:24792486,62.665,60.574,62.665,99.646,99.646,99.646,0.006,64.874,None,4.30511,14.440294,-9.678058,0.134,95.203,0.004,4.659,28.112,7.564,0.222,23.032
urn:li:member:84059796,56.299,56.79,56.299,0.126,0.126,0.126,45.724,94.729,None,7.284026,-0.90455633,15.967073,0.0,100.0,0.0,0.0,0.435,4.745,32.384,0.943
urn:li:member:47179431,72.542,79.638,72.542,0.562,0.562,0.562,12.048,29.618,None,-1.7080767,-6.4194646,21.281048,99.995,0.005,0.0,0.0,2.526,2.812,10.996,20.297
urn:li:member:218025869,55.428,58.373,55.428,0.354,0.354,0.354,90.013,3.09,None,-0.8757515,1.059976,-6.1204205,100.0,0.0,0.0,0.0,24.366,15.306,6.162,99.443
urn:li:member:1879318,55.368,60.569,55.368,0.502,0.502,0.502,64.796,95.441,None,1.6837158,-7.4677215,13.846888,0.002,99.991,0.0,0.007,17.69,9.232,0.903,59.009
urn:li:member:21795435,49.679,52.563,49.679,0.366,0.366,0.366,88.179,56.168,None,3.6458738,2.8097966,-6.742615,100.0,0.0,0.0,0.0,4.075,0.785,1.652,9.598
urn:li:member:283982908,72.834,72.834,71.612,0.339,0.339,0.339,52.815,29.244,None,3.987305,6.6944633,-15.413888,99.644,0.1,0.0,0.256,5.223,4.912,93.98,0.967
urn:li:member:1532766,57.817,56.343,57.817,0.203,0.203,0.203,93.238,96.83,Normal,4.750886,-6.6708393,-1.5493542,0.0,100.0,0.0,0.0,1.677,2.87,30.139,7.65
urn:li:member:186396979,69.477,73.564,69.477,2.197,2.197,2.197,87.967,91.417,None,7.887719,-5.3483205,4.965286,0.01,99.988,0.0,0.002,88.644,54.202,0.808,56.406
urn:li:member:24908241,50.967,58.271,50.967,8.214,8.214,8.214,73.749,91.815,None,-3.7687557,3.2871,-10.41412,0.009,99.991,0.0,0.0,2.957,5.913,2.389,2.859
urn:li:member:21696284,74.613,78.934,74.613,0.434,0.434,0.434,83.69,10.69,None,4.3093967,-20.011133,8.790105,99.959,0.041,0.0,0.0,66.992,11.912,1.668,72.441
urn:li:member:10547356,60.014,59.421,60.014,0.36,0.36,0.36,86.769,28.164,None,5.15659,-10.114272,7.162515,0.0,100.0,0.0,0.0,15.7,2.742,1.802,34.001
urn:li:member:159777730,57.412,58.851,57.412,2.247,2.247,2.247,91.513,96.206,Normal,9.873934,10.234402,0.032945417,0.002,99.998,0.0,0.0,0.201,5.06,14.862,0.908
urn:li:member:31209534,67.474,70.324,67.474,0.423,0.423,0.423,75.946,14.052,None,3.465125,9.011854,-11.377699,99.998,0.001,0.0,0.001,9.814,1.674,6.46,12.731
urn:li:member:16804582,57.034,59.397,57.034,0.031,0.031,0.031,64.596,85.535,None,12.284187,1.4170103,11.801756,0.046,99.84,0.008,0.106,2.159,2.364,34.978,11.599
urn:li:member:101909087,61.077,63.7,61.077,6.912,6.912,6.912,92.032,58.568,None,3.4134462,-7.746006,-0.89062417,99.995,0.004,0.0,0.001,0.426,10.373,21.385,13.159
urn:li:member:85576595,70.275,71.309,70.275,3.103,3.103,3.103,76.536,91.135,None,7.21662,7.352482,-9.958872,0.027,40.102,0.161,59.711,1.511,2.892,53.127,0.754
urn:li:member:14121021,61.53,69.548,61.53,0.263,0.263,0.263,80.735,68.663,None,9.800059,-5.355076,8.36347,100.0,0.0,0.0,0.0,11.483,32.943,21.078,8.078
urn:li:member:46111897,60.53,60.53,63.851,1.983,1.983,1.983,72.882,92.882,None,1.8233641,12.408515,-12.073645,0.001,99.999,0.0,0.0,3.343,1.32,29.292,16.425
urn:li:member:5341427,43.552,52.861,43.552,0.407,0.407,0.407,80.774,4.617,None,3.8197465,-3.7281697,9.948875,99.996,0.0,0.0,0.004,2.125,6.022,0.48,93.906
urn:li:member:6898651,70.731,79.073,70.731,0.04,0.04,0.04,88.184,97.869,None,2.704298,-8.239604,7.0401325,0.698,99.301,0.0,0.0,22.207,79.572,0.5,54.431
urn:li:member:42001391,32.435,36.977,32.435,98.675,98.675,98.675,0.006,3.654,None,-8.940104,-1.1947706,10.435103,99.999,0.0,0.0,0.001,10.83,52.679,0.136,11.26
urn:li:member:154621,50.77,54.546,50.77,0.069,0.069,0.069,91.984,90.456,Normal,0.9697101,-5.067075,4.4557586,0.001,99.998,0.0,0.001,5.357,4.106,7.091,31.236
urn:li:member:480707795,47.092,47.092,49.443,1.291,1.291,1.291,72.851,68.64,None,5.892136,-6.9024754,-11.538557,0.011,99.989,0.0,0.0,13.147,13.434,5.026,22.125
urn:li:member:2983031,43.555,41.51,43.555,0.745,0.745,0.745,88.402,20.573,Normal,2.3672326,-0.37334496,6.8050613,77.579,22.324,0.0,0.097,3.046,4.359,11.959,11.251
urn:li:member:158613083,79.468,85.776,79.468,0.977,0.977,0.977,69.284,91.587,None,13.468501,-3.0840223,10.122903,4.968,95.032,0.0,0.0,1.751,6.273,10.963,6.554
urn:li:member:116669284,39.035,47.286,39.035,6.672,6.672,6.672,90.24,85.18,None,0.010563741,0.28581864,4.1301775,0.0,100.0,0.0,0.0,1.293,31.924,0.883,4.29
urn:li:member:42305978,68.956,68.956,66.769,1.079,1.079,1.079,48.812,97.473,None,6.8115697,31.729143,-15.510379,0.0,100.0,0.0,0.0,4.07,19.341,6.82,7.319
urn:li:member:100306125,72.365,72.365,69.135,1.421,1.421,1.421,89.518,78.535,None,6.272051,6.4148564,4.68459,0.0,100.0,0.0,0.0,3.493,3.221,36.073,4.248
urn:li:member:138557403,55.549,56.227,55.549,0.708,0.708,0.708,92.422,98.756,None,8.183956,7.399791,-0.67065203,0.0,100.0,0.0,0.0,2.341,5.439,3.622,5.582
urn:li:member:17444339,60.712,63.528,60.712,0.217,0.217,0.217,87.968,29.827,Dark,-0.13761465,7.444373,-7.598535,0.091,4.305,95.401,0.203,80.601,33.184,1.015,15.654
urn:li:member:154638431,68.433,65.447,68.433,0.339,0.339,0.339,93.219,9.209,None,6.662337,-0.09770728,-0.4816521,99.999,0.001,0.0,0.0,3.421,16.21,17.874,3.178
urn:li:member:6455206,46.314,46.314,45.911,1.106,1.106,1.106,85.58,3.626,None,2.7009282,-0.039073378,-8.162483,99.993,0.007,0.0,0.0,65.598,46.291,0.709,33.053
urn:li:member:24966215,59.927,61.483,59.927,2.666,2.666,2.666,91.928,6.356,Normal,-8.481105,1.2383009,-0.29053062,57.376,0.0,8.856,33.768,0.539,3.17,67.649,0.651
urn:li:member:3820522,51.08,57.368,51.08,75.422,75.422,75.422,0.006,99.637,None,2.5010495,4.215062,-5.22848,2.636,97.266,0.0,0.098,0.875,21.208,17.463,6.434
urn:li:member:5498735,59.575,62.001,59.575,90.059,90.059,90.059,0.006,69.501,None,-2.7968454,2.8540275,-2.8364563,99.942,0.058,0.0,0.001,0.352,1.598,83.549,1.115
urn:li:member:2702672,58.844,58.844,50.849,0.41,0.41,0.41,85.977,51.56,None,2.745719,0.060382284,-8.122098,99.985,0.012,0.0,0.003,13.778,1.624,15.865,32.015
urn:li:member:1090350,57.687,60.025,57.687,96.656,96.656,96.656,0.006,4.547,None,-10.763943,0.2392897,-25.787186,1.01,98.99,0.0,0.0,3.046,8.154,2.422,1.514
urn:li:member:91345898,53.574,57.787,53.574,0.493,0.493,0.493,92.274,99.356,None,4.52541,1.7043855,2.9041922,0.0,100.0,0.0,0.0,1.741,3.838,72.783,12.171
urn:li:member:31833116,54.191,56.846,54.191,0.609,0.609,0.609,87.331,96.176,Normal,10.916268,-11.189856,4.357109,0.0,100.0,0.0,0.0,68.772,11.451,0.317,27.924
urn:li:member:23113746,57.563,61.051,57.563,0.941,0.941,0.941,91.398,56.167,None,-5.2574673,-1.6631966,3.4747622,99.999,0.0,0.0,0.001,3.589,1.355,0.538,27.829
urn:li:member:3845740,68.211,68.305,68.211,1.117,1.117,1.117,67.755,26.182,Normal,5.5440893,21.865294,-12.700661,0.002,99.966,0.0,0.033,2.625,2.42,8.071,5.299
urn:li:member:24877080,52.783,54.411,52.783,0.423,0.423,0.423,36.641,14.936,None,3.0559936,0.76213485,17.591953,99.902,0.083,0.0,0.015,1.93,2.534,6.141,2.25
urn:li:member:147592966,55.324,55.743,55.324,0.066,0.066,0.066,10.009,16.797,None,4.776305,-9.0224085,21.593058,99.998,0.002,0.0,0.0,2.149,8.265,34.985,1.919
urn:li:member:372531,41.906,52.883,41.906,10.451,10.451,10.451,86.796,45.264,None,-3.6948326,3.2261214,4.4830017,0.452,99.534,0.0,0.014,1.996,31.093,1.436,46.188
urn:li:member:65398612,81.14,86.657,81.14,0.072,0.072,0.072,17.14,57.27,None,2.7707825,5.6791205,20.331976,100.0,0.0,0.0,0.0,16.774,20.76,3.348,35.537
urn:li:member:11404065,41.322,42.61,41.322,5.689,5.689,5.689,90.756,92.475,Normal,-2.1823378,5.0517006,-3.461105,0.014,99.971,0.0,0.015,6.918,1.396,1.516,25.195
urn:li:member:25239075,48.384,54.896,48.384,22.167,22.167,22.167,74.365,95.129,None,-3.1760173,-7.02875,5.904262,0.0,100.0,0.0,0.0,0.523,4.04,11.021,1.669
urn:li:member:86971604,64.656,71.886,64.656,4.697,4.697,4.697,89.336,71.114,None,4.2228875,-6.2050815,4.4938073,100.0,0.0,0.0,0.0,29.895,3.98,1.863,8.849
urn:li:member:69595382,64.377,62.622,64.377,73.859,73.859,73.859,0.006,54.096,None,7.9915857,-3.5964339,-2.3596432,98.901,1.09,0.008,0.001,1.491,4.172,25.707,10.268
urn:li:member:3231058,57.941,64.627,57.941,76.069,76.069,76.069,0.006,95.232,None,0.30262518,-15.7368765,11.865927,0.0,100.0,0.0,0.0,4.656,10.737,5.646,6.895
urn:li:member:105834790,64.025,71.888,64.025,0.393,0.393,0.393,91.624,97.545,Normal,7.4175034,-4.3578663,2.4107015,0.0,100.0,0.0,0.0,3.429,8.096,2.887,31.586
urn:li:member:158971528,69.656,72.801,69.656,0.081,0.081,0.081,81.24,6.904,Normal,10.339838,-1.4676207,7.996842,0.0,100.0,0.0,0.0,4.138,11.088,13.395,7.626
urn:li:member:54595120,61.176,68.419,61.176,1.151,1.151,1.151,92.088,92.44,None,0.3689967,-1.4807636,4.136181,34.39,13.595,9.499,42.516,91.497,8.266,0.867,88.06
urn:li:member:8283083,54.943,54.943,53.938,0.903,0.903,0.903,82.993,97.749,None,7.1022053,1.4140757,8.251407,0.563,99.437,0.0,0.0,0.587,1.434,34.881,11.217
urn:li:member:100951344,67.044,66.727,67.044,64.017,64.017,64.017,0.006,0.236,None,-4.0384483,19.284107,80.973206,0.0,0.0,98.689,1.311,24.208,16.175,1.109,19.585
urn:li:member:53594141,59.043,57.065,59.043,0.231,0.231,0.231,15.754,5.476,None,3.8914993,-11.133062,20.48969,100.0,0.0,0.0,0.0,41.185,4.291,1.605,40.254
urn:li:member:17552893,55.191,62.234,55.191,0.301,0.301,0.301,86.693,89.868,Normal,10.597201,-4.996625,5.077442,1.855,98.145,0.0,0.0,3.573,1.293,10.65,2.028
urn:li:member:40171800,39.197,39.197,39.715,1.253,1.253,1.253,71.848,99.366,Normal,2.8132806,4.0087037,-12.281473,0.0,100.0,0.0,0.0,4.184,2.078,17.736,8.475
urn:li:member:1550137,49.117,42.34,49.117,88.879,88.879,88.879,0.006,87.322,None,-6.099018,-6.8956375,13.717712,0.012,99.987,0.0,0.001,2.013,97.019,1.378,12.182
urn:li:member:1170724,69.713,75.926,69.713,1.386,1.386,1.386,91.204,36.692,None,5.872802,0.8884733,-3.2742023,100.0,0.0,0.0,0.0,4.055,6.859,5.267,1.117
urn:li:member:11105192,63.303,68.785,63.303,0.059,0.059,0.059,89.683,88.037,None,-11.1145935,13.374276,2.364262,0.236,2.12,97.327,0.317,0.169,5.359,56.997,0.437
urn:li:member:230968860,57.041,57.041,56.376,21.338,21.338,21.338,28.933,45.007,None,8.121296,-6.4004602,-15.410911,97.349,2.606,0.001,0.044,30.209,96.306,6.133,50.805
urn:li:member:124676237,48.531,48.531,49.969,0.222,0.222,0.222,86.639,94.482,None,4.733066,-6.6220407,7.378621,0.0,99.998,0.0,0.001,51.187,7.459,6.088,6.104
urn:li:member:97278338,69.766,69.766,67.701,0.331,0.331,0.331,87.547,97.32,None,7.1495776,-4.859134,6.0788817,0.0,100.0,0.0,0.0,9.787,4.888,19.407,7.421
urn:li:member:64278544,58.144,65.378,58.144,0.106,0.106,0.106,83.29,97.336,None,8.517859,-2.5134885,7.842829,0.053,99.947,0.0,0.0,2.098,1.972,47.738,5.975
urn:li:member:239316135,58.541,58.541,66.374,0.333,0.333,0.333,9.565,6.208,None,14.849076,2.9474072,20.657227,0.003,99.997,0.0,0.0,85.857,36.107,1.393,47.287
urn:li:member:5694882,45.559,44.048,45.559,12.229,12.229,12.229,87.768,63.365,Dark,-9.048383,4.5905724,-0.02105235,0.0,100.0,0.0,0.0,5.909,11.119,1.157,7.501
urn:li:member:10293152,58.512,62.614,58.512,0.356,0.356,0.356,83.352,12.545,Normal,7.4586506,6.301077,-8.113585,100.0,0.0,0.0,0.0,3.749,3.781,9.176,3.898
urn:li:member:87073592,50.679,59.041,50.679,43.179,43.179,43.179,18.454,29.472,None,-2.3380752,3.9629242,-8.666025,100.0,0.0,0.0,0.0,3.043,3.937,2.21,3.349
urn:li:member:35344696,53.748,51.304,53.748,0.412,0.412,0.412,89.862,13.996,None,-1.313979,-8.439073,6.1288486,0.008,0.001,0.192,99.799,2.627,1.208,2.323,0.69
urn:li:member:12942701,63.819,62.16,63.819,95.183,95.183,95.183,0.006,2.684,None,-13.341568,-10.877945,-22.467968,98.266,0.032,0.0,1.703,3.45,5.754,5.974,29.494
urn:li:member:32888110,43.79,48.6,43.79,1.48,1.48,1.48,21.71,80.063,None,-18.693363,-36.48343,16.720812,0.0,100.0,0.0,0.0,16.54,6.956,1.796,21.507
urn:li:member:6802670,51.765,59.096,51.765,0.739,0.739,0.739,74.986,86.295,Normal,11.5447,-2.804873,-9.46757,0.0,99.998,0.0,0.002,10.015,4.868,2.61,53.75
urn:li:member:513526,51.752,53.322,51.752,0.337,0.337,0.337,85.6,96.276,Normal,6.7264376,8.8521385,-7.3140965,0.0,100.0,0.0,0.0,39.136,3.534,0.846,38.969
urn:li:member:139366364,62.09,68.652,62.09,0.835,0.835,0.835,93.436,92.379,None,3.8309407,-13.364428,1.3615103,0.003,99.997,0.0,0.0,4.749,2.854,15.666,10.582
urn:li:member:10754003,72.283,77.567,72.283,1.875,1.875,1.875,28.666,89.444,Normal,2.3310094,-8.505011,18.54976,4.212,95.785,0.0,0.003,19.819,4.195,3.696,21.172
urn:li:member:66918,42.647,49.852,42.647,0.033,0.033,0.033,53.211,94.815,None,-1.5841079,-5.052648,15.63658,0.0,100.0,0.0,0.0,1.116,0.925,10.114,14.41
urn:li:member:99549278,54.389,56.646,54.389,1.897,1.897,1.897,84.698,60.352,None,4.2594686,19.703342,-8.050454,100.0,0.0,0.0,0.0,1.279,11.994,1.796,62.722
urn:li:member:34119363,47.887,48.653,47.887,0.86,0.86,0.86,86.283,97.706,None,9.9041815,2.0632367,5.5382414,0.0,100.0,0.0,0.0,2.473,3.31,4.772,8.798
urn:li:member:21062839,51.802,62.239,51.802,0.433,0.433,0.433,87.012,98.619,None,7.1483064,-5.689663,6.37877,0.0,100.0,0.0,0.0,12.943,2.81,1.471,65.681
urn:li:member:32120722,40.974,41.731,40.974,1.074,1.074,1.074,85.828,96.014,Normal,5.7734222,11.537477,-7.309708,0.0,100.0,0.0,0.0,9.94,42.26,0.738,82.7
urn:li:member:75968497,57.8,63.221,57.8,42.149,42.149,42.149,0.006,14.558,None,3.7711983,15.499446,-46.112255,0.003,99.155,0.832,0.01,42.864,41.136,15.508,88.45
urn:li:member:3004,55.876,60.832,55.876,0.368,0.368,0.368,92.941,80.911,None,6.69327,-11.173123,-0.9395676,0.001,99.999,0.0,0.0,6.675,2.624,5.558,33.425
urn:li:member:3542018,74.595,76.195,74.595,1.216,1.216,1.216,66.695,2.832,Normal,-4.596385,-1.2758068,-13.040787,99.999,0.0,0.0,0.001,1.759,3.314,35.36,6.338
urn:li:member:10255325,49.713,49.713,40.761,98.765,98.765,98.765,0.006,73.587,None,0.28021705,6.26074,-1.8158928,0.407,99.576,0.0,0.018,1.701,3.954,5.064,3.288
urn:li:member:61481684,67.1,67.1,60.673,0.056,0.056,0.056,68.153,97.569,None,6.7612834,23.66615,-12.55536,0.016,99.984,0.0,0.0,16.722,1.693,9.837,17.134
urn:li:member:19646536,57.304,58.345,57.304,0.359,0.359,0.359,92.306,94.363,None,4.0128136,9.372135,3.1072598,0.0,100.0,0.0,0.0,0.613,68.889,2.232,2.687
urn:li:member:242707540,68.038,71.089,68.038,0.374,0.374,0.374,90.145,98.577,None,11.336038,-0.914179,1.5415063,0.0,100.0,0.0,0.0,7.754,10.75,18.725,6.641
urn:li:member:67312981,48.877,55.85,48.877,53.571,53.571,53.571,0.006,0.713,None,8.590181,-7.356553,6.014199,99.991,0.009,0.0,0.0,3.372,10.683,1.247,29.657
urn:li:member:236952783,62.723,56.894,62.723,9.413,9.413,9.413,77.629,36.61,Normal,-5.9728785,-6.3941436,8.503294,41.005,0.09,0.0,58.904,0.539,4.226,19.721,7.406
urn:li:member:13888058,80.734,86.481,80.734,15.162,15.162,15.162,68.934,97.117,None,7.726505,-9.403117,9.028233,61.497,38.5,0.0,0.003,19.032,1.49,10.311,37.348
urn:li:member:10460759,74.453,76.719,74.453,12.84,12.84,12.84,36.326,82.5,None,12.809538,9.942032,-14.576402,99.962,0.003,0.0,0.035,96.329,92.9,0.678,36.802
urn:li:member:7605808,70.922,71.586,70.922,0.472,0.472,0.472,75.119,46.042,None,-4.3391232,-0.5459965,11.427513,0.001,99.999,0.0,0.0,0.701,2.416,3.182,11.581
urn:li:member:16187178,56.814,56.814,51.626,0.081,0.081,0.081,0.006,11.211,None,-7.6056776,-2.5005257,-32.7575,0.028,99.972,0.0,0.0,53.773,4.529,2.384,76.303
urn:li:member:7253113,68.567,68.978,68.567,0.813,0.813,0.813,92.86,19.151,None,6.622365,3.8362985,-0.91434455,99.999,0.0,0.0,0.0,8.846,9.413,3.237,14.495
urn:li:member:185634643,32.881,24.758,32.881,78.192,78.192,78.192,0.006,45.209,None,-2.84313,1.8269541,-1.3615513,0.001,99.999,0.0,0.0,0.056,14.726,0.74,2.747
urn:li:member:2307004,54.899,55.957,54.899,0.373,0.373,0.373,91.77,78.407,Normal,-0.57132566,-1.2486832,-4.66893,0.0,100.0,0.0,0.0,44.343,1.971,3.209,31.631
urn:li:member:108443043,59.516,59.395,59.516,0.916,0.916,0.916,88.37,99.372,None,7.303644,11.97699,-5.306474,0.001,99.999,0.0,0.0,6.736,14.27,27.054,18.578
urn:li:member:3407867,62.301,68.303,62.301,0.136,0.136,0.136,87.668,88.297,None,4.8117633,-7.7331715,6.8030887,0.0,100.0,0.0,0.0,13.703,1.651,3.654,14.534
urn:li:member:7694960,51.671,60.928,51.671,0.673,0.673,0.673,82.112,97.925,None,8.668746,0.36552364,-8.152022,0.0,99.999,0.0,0.001,0.545,3.5,9.915,3.222
urn:li:member:298522364,75.315,75.315,67.236,0.137,0.137,0.137,21.806,96.04,None,0.93307376,-0.20390846,19.71044,0.09,99.903,0.0,0.007,11.143,5.8,4.894,51.834
urn:li:member:8425313,52.059,55.307,52.059,0.361,0.361,0.361,94.478,7.646,Normal,-0.75242305,3.573479,-0.7825595,99.861,0.039,0.0,0.099,1.295,1.76,4.185,0.973
urn:li:member:115601422,52.42,52.42,52.11,0.78,0.78,0.78,89.797,92.979,None,3.9896786,-0.0037605527,5.421126,98.51,1.291,0.0,0.199,29.2,4.253,1.413,48.677
urn:li:member:71679226,57.855,60.919,57.855,0.236,0.236,0.236,84.422,62.174,Normal,0.25372872,8.326011,9.248787,3.316,96.262,0.0,0.423,53.107,32.302,1.408,68.379
urn:li:member:87050505,45.33,45.33,46.231,99.327,99.327,99.327,0.006,58.639,None,3.5811312,9.926951,-14.621871,0.002,99.998,0.0,0.0,2.41,5.33,14.191,8.461
urn:li:member:17857755,53.628,61.837,53.628,0.383,0.383,0.383,92.708,15.07,None,-5.389566,-8.9579735,1.9899739,0.0,100.0,0.0,0.0,4.517,0.679,5.624,1.908
urn:li:member:29791326,42.308,41.472,42.308,7.045,7.045,7.045,90.923,91.63,None,6.881908,4.7788434,-0.6077041,0.342,0.211,0.0,99.448,1.521,39.34,22.135,15.109
urn:li:member:126961764,43.342,43.342,42.317,0.637,0.637,0.637,74.962,66.379,None,4.0933533,15.296531,-11.480683,2.635,97.365,0.0,0.0,2.532,2.288,33.613,5.905
urn:li:member:4660262,58.424,55.197,58.424,2.841,2.841,2.841,62.671,43.14,None,3.4768097,10.182976,-13.671838,99.99,0.01,0.0,0.0,7.341,98.97,5.982,2.406
urn:li:member:6754276,55.023,55.023,56.04,0.227,0.227,0.227,2.651,94.516,None,0.35779005,-7.3900094,24.28173,0.0,100.0,0.0,0.0,6.614,62.632,2.629,75.828
urn:li:member:3396732,59.884,61.773,59.884,23.233,23.233,23.233,65.746,84.887,None,10.948172,-0.8717455,-5.6128945,97.528,0.001,0.001,2.471,1.617,24.038,7.115,2.532
urn:li:member:60618215,81.536,81.536,75.663,0.404,0.404,0.404,78.391,99.858,None,6.556254,0.7448842,10.102326,0.0,100.0,0.0,0.0,2.161,0.964,17.758,20.342
urn:li:member:225510910,64.914,64.914,56.64,0.441,0.441,0.441,92.647,99.498,None,5.4942193,-5.625334,2.005304,0.0,100.0,0.0,0.0,3.289,10.901,5.131,15.032
urn:li:member:21633329,65.981,60.806,65.981,94.096,94.096,94.096,0.006,0.536,Normal,-8.504112,-3.5137212,-43.81831,0.0,100.0,0.0,0.0,0.824,14.091,76.35,1.033
urn:li:member:6367286,61.113,63.33,61.113,0.256,0.256,0.256,87.996,6.262,Normal,-6.875474,15.169017,-5.910747,0.055,0.001,99.482,0.463,3.415,3.326,52.528,2.454
urn:li:member:382068939,62.986,64.218,62.986,0.19,0.19,0.19,0.006,1.066,Dark,-4.8711343,-0.47804365,40.72036,1.125,29.223,67.685,1.967,10.223,80.075,3.118,6.406
urn:li:member:2382403,58.267,52.164,58.267,87.462,87.462,87.462,0.006,91.099,None,15.318332,-1.4440044,0.6442132,11.512,88.483,0.002,0.004,3.137,6.523,8.826,3.046
urn:li:member:13610301,44.284,44.539,44.284,0.968,0.968,0.968,72.835,14.227,Normal,-0.52082413,-10.179812,12.393914,99.998,0.002,0.0,0.0,15.452,23.81,1.356,39.539
urn:li:member:419081,45.276,54.394,45.276,0.291,0.291,0.291,81.349,11.756,None,1.4506066,-1.2326182,-10.176374,99.893,0.0,0.0,0.107,6.602,11.316,3.295,8.365
urn:li:member:7312590,54.619,61.662,54.619,0.475,0.475,0.475,2.53,19.932,None,2.2748148,2.0028248,24.301842,7.34,20.886,0.006,71.768,4.608,5.67,33.168,5.433
urn:li:member:19496343,51.04,52.619,51.04,0.415,0.415,0.415,88.962,18.004,Normal,-0.49533296,0.1622411,6.8976064,100.0,0.0,0.0,0.0,80.073,2.676,0.502,71.625
urn:li:member:206866,52.124,52.914,52.124,0.09,0.09,0.09,50.285,74.063,None,10.042895,10.299142,-14.83518,99.981,0.019,0.0,0.0,1.01,8.882,35.286,2.735
urn:li:member:4592614,67.779,68.051,67.779,0.364,0.364,0.364,80.754,94.428,None,3.395084,-7.132855,10.041865,0.008,99.992,0.0,0.0,6.843,8.789,2.151,6.83
urn:li:member:41192532,66.767,69.432,66.767,1.18,1.18,1.18,82.639,99.307,None,17.622715,-0.271868,-1.0001147,0.0,100.0,0.0,0.0,0.589,2.437,25.128,3.15
urn:li:member:19221421,68.311,75.668,68.311,0.361,0.361,0.361,9.692,10.287,None,2.6699703,2.797572,21.7612,99.278,0.013,0.074,0.635,7.373,13.927,4.39,2.447
urn:li:member:454853507,61.013,61.013,58.969,0.639,0.639,0.639,88.719,82.107,None,10.83921,3.2187612,-3.278333,99.869,0.0,0.0,0.131,2.584,8.329,65.83,11.253
urn:li:member:12070921,73.484,74.814,73.484,3.063,3.063,3.063,83.537,79.202,Normal,-3.7571964,-2.0364783,-8.396729,0.007,0.02,93.331,6.642,25.978,6.008,0.64,71.887
urn:li:member:45773615,49.038,52.164,49.038,3.323,3.323,3.323,2.354,15.904,None,-1.7060037,18.083416,-24.338995,99.331,0.275,0.0,0.395,8.858,93.271,1.819,3.669
urn:li:member:139182161,64.926,68.899,64.926,0.101,0.101,0.101,81.409,51.873,None,7.3942666,9.596781,8.9484,44.477,55.52,0.0,0.004,24.614,16.32,7.714,9.459
urn:li:member:193252816,73.6,75.316,73.6,0.274,0.274,0.274,23.362,8.237,Normal,9.408529,0.09027674,18.739805,100.0,0.0,0.0,0.0,0.823,3.94,76.55,4.527
urn:li:member:14088691,66.392,65.747,66.392,0.278,0.278,0.278,90.408,8.217,Normal,0.55967593,-7.150925,-5.9002476,0.301,99.689,0.0,0.01,1.254,2.473,27.596,3.29
urn:li:member:6565592,61.777,70.374,61.777,16.787,16.787,16.787,64.498,38.43,Normal,6.5437326,-4.1105986,10.005638,93.612,6.386,0.0,0.002,31.594,16.581,0.389,37.979
urn:li:member:17091271,85.151,85.151,83.009,0.035,0.035,0.035,15.948,64.044,None,11.141172,-2.3626316,19.781658,100.0,0.0,0.0,0.0,3.723,3.294,65.142,10.156
urn:li:member:590239703,66.757,66.757,65.116,0.066,0.066,0.066,59.311,93.695,None,-3.2202497,7.8888035,14.600901,0.0,100.0,0.0,0.0,3.87,4.952,43.88,3.657
urn:li:member:82095361,57.324,66.955,57.324,0.254,0.254,0.254,27.443,57.265,None,-3.625443,-5.4678087,18.74969,37.089,56.914,0.0,5.996,10.291,1.431,34.728,4.765
urn:li:member:30732220,43.035,43.035,36.555,2.214,2.214,2.214,92.91,98.047,None,3.7270126,3.4774191,-1.6559169,0.122,99.878,0.0,0.001,0.107,3.84,8.923,1.251
urn:li:member:193852426,75.468,83.639,75.468,1.098,1.098,1.098,91.103,96.997,None,3.1230385,7.0834365,-4.4516225,0.0,100.0,0.0,0.0,8.43,2.083,9.544,20.186
urn:li:member:130670332,58.307,55.083,58.307,0.152,0.152,0.152,47.642,45.942,None,3.8144524,-6.875975,16.147066,100.0,0.0,0.0,0.0,1.892,12.057,2.668,10.16
