m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:1672468,73.134,76.448,73.134,0.407,0.407,0.407,64.522,67.152,None,8.263845,2.519946,12.876633,99.92,0.076,0.004,0.0,3.082,3.832,39.74,6.831
urn:li:member:21888164,60.353,65.223,60.353,89.621,89.621,89.621,0.006,9.458,None,6.8079133,5.613127,5.4768143,99.999,0.0,0.0,0.0,3.239,5.096,0.662,27.365
urn:li:member:4296047,40.744,53.584,40.744,0.291,0.291,0.291,93.38,93.457,None,6.150499,0.5229799,0.52166337,0.0,100.0,0.0,0.0,0.632,4.228,2.885,11.603
urn:li:member:229590150,76.929,75.106,76.929,99.561,99.561,99.561,0.006,15.595,None,8.987818,2.0163128,0.52352375,37.371,59.171,0.433,3.024,7.203,7.702,8.246,8.424
urn:li:member:65306327,71.608,74.956,71.608,20.352,20.352,20.352,0.006,9.719,Dark,-12.067419,5.8363624,53.70336,0.006,1.98,77.076,20.937,96.158,36.911,2.484,48.006
urn:li:member:11740079,50.166,52.562,50.166,0.301,0.301,0.301,90.534,36.358,None,-3.388564,-10.097615,5.1307354,100.0,0.0,0.0,0.0,1.064,3.937,56.727,4.345
urn:li:member:5389416,70.651,70.651,68.762,0.935,0.935,0.935,26.584,88.985,None,4.0650897,-5.0423555,18.778412,0.946,99.054,0.0,0.0,2.713,6.312,12.226,2.986
urn:li:member:4191592,47.559,47.559,45.196,0.374,0.374,0.374,73.758,88.591,None,-1.6660802,34.70929,-12.153926,0.0,99.99,0.0,0.009,0.692,1.298,2.177,40.249
urn:li:member:5104775,79.122,82.739,79.122,0.368,0.368,0.368,71.263,96.349,None,4.9060926,-3.4545958,12.219104,0.0,100.0,0.0,0.0,73.033,3.625,0.467,62.061
urn:li:member:1400983,51.544,51.544,51.687,0.892,0.892,0.892,78.714,23.908,Normal,6.6582975,-1.2508448,-9.887536,0.0,99.972,0.0,0.028,8.395,1.225,20.81,18.494
urn:li:member:10790323,59.676,59.676,62.694,2.118,2.118,2.118,0.006,31.995,Dark,4.4830847,11.929245,-41.74349,0.002,0.627,1.232,98.139,1.172,53.736,0.871,0.942
urn:li:member:2962740,24.066,31.289,24.066,17.143,17.143,17.143,52.194,37.916,None,6.496065,4.910801,-12.46208,80.86,19.14,0.0,0.0,24.725,92.863,0.331,99.806
urn:li:member:73574085,63.508,65.191,63.508,5.046,5.046,5.046,81.904,86.66,None,14.387079,3.412324,3.8510327,99.832,0.168,0.0,0.0,13.121,51.727,2.401,5.312
urn:li:member:109544238,58.987,63.884,58.987,10.598,10.598,10.598,83.285,95.122,Normal,0.44184664,-9.287418,7.152428,0.04,99.96,0.0,0.0,8.21,10.01,3.918,27.906
urn:li:member:5330308,56.514,60.482,56.514,0.308,0.308,0.308,89.587,97.675,None,8.255571,-4.5920935,4.1131725,0.0,100.0,0.0,0.0,0.352,4.752,0.708,42.264
urn:li:member:59067835,51.679,51.679,51.598,0.44,0.44,0.44,0.012,14.666,None,-4.3671837,-25.973284,28.593584,0.0,100.0,0.0,0.0,0.595,13.343,2.378,55.883
urn:li:member:59752329,50.642,52.656,50.642,10.785,10.785,10.785,72.208,40.681,None,11.786817,10.823404,-7.8038673,99.977,0.023,0.0,0.0,6.319,4.14,5.941,6.016
urn:li:member:137596,55.528,59.366,55.528,3.156,3.156,3.156,82.875,75.155,None,9.744671,14.603398,-6.7997956,0.0,100.0,0.0,0.0,0.28,3.066,42.536,1.568
urn:li:member:9265675,58.418,58.418,61.521,80.452,80.452,80.452,0.006,91.835,None,4.037653,-1.4095057,1.2414339,100.0,0.0,0.0,0.0,39.363,9.288,2.075,5.97
urn:li:member:83628569,38.655,38.655,38.988,0.936,0.936,0.936,76.29,83.041,None,-0.06678132,-5.165204,11.657969,0.0,100.0,0.0,0.0,20.636,2.066,7.001,8.735
urn:li:member:26753295,65.929,66.8,65.929,0.394,0.394,0.394,93.966,30.615,None,-2.96596,2.513051,0.9692345,99.996,0.004,0.0,0.0,3.314,6.148,19.688,2.836
urn:li:member:60862529,55.041,58.676,55.041,0.365,0.365,0.365,91.422,12.505,None,2.7205071,-5.250351,4.4878507,99.98,0.02,0.0,0.0,6.348,2.413,12.136,4.121
urn:li:member:216202583,64.209,65.711,64.209,3.889,3.889,3.889,70.276,11.005,None,12.935026,-1.9828432,-9.53094,100.0,0.0,0.0,0.0,1.493,41.847,58.532,2.33
urn:li:member:5172985,61.754,61.754,63.458,0.525,0.525,0.525,76.231,97.255,None,4.709864,13.109641,-11.07277,99.982,0.018,0.0,0.0,1.28,6.175,88.755,6.92
urn:li:member:78482994,75.061,80.336,75.061,0.101,0.101,0.101,93.944,77.587,None,3.7649589,5.001129,0.79473346,0.001,99.999,0.0,0.0,34.492,14.037,1.547,35.112
urn:li:member:30830210,70.055,70.055,68.69,0.662,0.662,0.662,90.773,27.32,Normal,-1.1111898,-7.9462237,5.3840303,99.978,0.022,0.0,0.0,0.719,1.228,27.157,3.892
urn:li:member:20076214,30.697,35.709,30.697,0.366,0.366,0.366,59.684,93.527,None,-6.0447216,2.9963682,14.1196375,0.001,99.999,0.0,0.0,17.162,5.489,0.598,9.044
urn:li:member:16119770,75.961,75.961,74.286,0.363,0.363,0.363,91.691,97.919,None,2.4624317,7.748239,-4.2894807,0.0,100.0,0.0,0.0,3.666,2.309,55.84,11.328
urn:li:member:1987038,65.008,79.135,65.008,0.334,0.334,0.334,90.841,99.142,None,10.490086,1.6328506,1.3929061,0.0,100.0,0.0,0.0,1.446,2.775,2.386,3.905
urn:li:member:6235772,52.64,50.366,52.64,1.661,1.661,1.661,93.413,71.903,None,2.929763,-3.5191288,1.4100977,99.886,0.024,0.0,0.089,3.647,99.012,1.092,28.455
urn:li:member:59919572,64.353,67.659,64.353,3.965,3.965,3.965,92.27,24.211,Normal,1.3161988,-2.0991821,2.660489,100.0,0.0,0.0,0.0,29.927,2.717,0.932,1.531
urn:li:member:91215180,58.393,58.899,58.393,0.36,0.36,0.36,87.657,91.455,Normal,7.3421836,-4.7697783,5.9291115,0.001,99.991,0.0,0.008,9.943,3.562,14.116,7.937
urn:li:member:97255556,62.095,61.473,62.095,98.6,98.6,98.6,0.006,57.235,None,3.9549348,-5.1688495,11.542846,99.994,0.005,0.0,0.001,38.928,8.134,1.485,6.174
urn:li:member:886900,41.136,44.824,41.136,0.416,0.416,0.416,90.069,6.699,Normal,3.5998588,-1.1435747,5.4220076,100.0,0.0,0.0,0.0,5.246,15.954,0.648,18.826
urn:li:member:6080750,56.53,60.596,56.53,0.261,0.261,0.261,94.226,7.846,None,0.45259735,2.279368,1.4234054,99.898,0.077,0.0,0.025,3.136,7.91,1.665,9.489
urn:li:member:75248930,49.296,49.296,51.664,0.356,0.356,0.356,94.455,89.781,None,1.2436775,-2.0585368,0.66415393,0.759,99.225,0.0,0.016,99.247,28.185,4.422,98.223
urn:li:member:15905778,55.525,66.941,55.525,0.742,0.742,0.742,85.974,97.37,None,3.444975,0.50107247,-7.902319,0.0,100.0,0.0,0.0,55.047,5.154,0.752,53.939
urn:li:member:6827297,60.351,60.984,60.351,99.641,99.641,99.641,0.006,17.736,Normal,-4.641835,-3.054194,-1.1450573,99.984,0.013,0.0,0.003,20.027,17.588,0.664,3.839
