m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:16220951,0.003,0.0,0.0,99.976,0.005,0.004,0.011
urn:li:member:73506966,0.0,0.003,0.001,99.994,0.0,0.001,0.001
urn:li:member:62113804,0.0,0.001,0.0,99.998,0.0,0.0,0.0
urn:li:member:1085009,0.001,0.048,0.001,99.944,0.001,0.001,0.003
urn:li:member:12815149,0.001,0.004,0.013,99.978,0.001,0.001,0.001
urn:li:member:80378907,0.629,2.968,7.585,49.198,36.077,3.107,0.435
urn:li:member:295808004,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:63329234,0.028,0.028,0.028,0.541,3.876,55.516,39.981
urn:li:member:19469592,0.0,0.012,0.0,99.985,0.0,0.0,0.002
urn:li:member:116904205,0.003,0.003,0.005,98.115,0.011,0.003,1.861
urn:li:member:16901982,0.122,0.112,2.919,0.022,0.569,0.022,96.234
urn:li:member:38342743,0.0,0.0,0.001,99.998,0.0,0.0,0.001
urn:li:member:8880404,0.001,39.725,2.372,53.539,0.001,4.36,0.001
urn:li:member:48724314,0.041,13.69,0.013,84.511,1.72,0.013,0.013
urn:li:member:212765476,0.424,0.041,0.108,97.087,2.257,0.041,0.041
urn:li:member:298505864,0.011,0.528,0.274,98.449,0.125,0.602,0.011
urn:li:member:520939,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:1368841,2.394,0.004,0.004,0.78,96.442,0.372,0.004
urn:li:member:2292483,0.001,0.002,0.001,2.318,97.591,0.087,0.001
urn:li:member:106805680,0.003,0.003,0.003,1.317,98.456,0.003,0.216
urn:li:member:29938645,0.0,0.0,0.0,99.854,0.145,0.0,0.0
urn:li:member:30049615,0.0,0.001,0.0,99.275,0.0,0.001,0.722
urn:li:member:326214591,0.33,0.009,0.02,99.614,0.009,0.009,0.009
urn:li:member:426307259,0.002,0.002,0.002,96.366,3.525,0.1,0.002
urn:li:member:13204124,0.005,0.005,0.005,97.337,0.885,0.028,1.735
urn:li:member:20853153,0.015,84.028,0.015,13.763,0.21,1.955,0.015
urn:li:member:11452556,0.347,2.985,0.135,48.161,47.022,0.64,0.712
urn:li:member:146893446,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:5774234,0.001,0.015,0.004,99.909,0.035,0.033,0.001
urn:li:member:151747454,0.029,10.129,0.029,1.045,0.029,88.7,0.038
urn:li:member:9334559,0.009,0.003,0.096,99.826,0.002,0.033,0.032
urn:li:member:51090776,0.503,8.464,8.14,1.814,18.511,62.384,0.184
urn:li:member:202702802,0.001,0.03,0.001,10.234,89.725,0.009,0.001
urn:li:member:97725381,0.022,0.01,0.005,99.854,0.01,0.092,0.007
urn:li:member:111451369,0.064,0.007,0.003,0.06,99.86,0.003,0.005
urn:li:member:39612435,0.0,0.002,0.0,99.997,0.0,0.0,0.0
urn:li:member:34515961,0.004,0.004,0.006,95.657,4.323,0.003,0.003
urn:li:member:208044492,0.0,0.0,0.0,99.926,0.067,0.003,0.003
urn:li:member:6939978,0.09,0.033,16.084,49.601,31.345,2.778,0.069
urn:li:member:24968609,4.008,0.044,14.05,77.854,3.956,0.044,0.044
urn:li:member:157669844,0.049,0.049,0.051,27.736,68.676,2.595,0.844
urn:li:member:173384948,0.0,0.0,0.172,99.826,0.0,0.0,0.001
urn:li:member:1421639,0.002,0.05,0.002,99.705,0.002,0.237,0.002
urn:li:member:86335867,0.007,0.64,0.007,94.85,0.007,3.762,0.728
urn:li:member:127357208,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:43895129,0.004,0.8,0.004,99.075,0.006,0.004,0.107
urn:li:member:4279269,0.0,0.001,0.002,99.996,0.0,0.0,0.001
urn:li:member:67718328,0.007,0.017,0.007,99.499,0.347,0.106,0.017
urn:li:member:122756275,0.057,87.556,0.199,8.108,0.057,3.572,0.451
urn:li:member:22142083,0.007,0.027,0.007,98.338,1.514,0.092,0.015
urn:li:member:3842683,0.0,0.011,0.0,99.985,0.0,0.0,0.003
urn:li:member:52392479,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:48341787,0.034,0.108,0.011,4.978,94.846,0.011,0.011
urn:li:member:10812139,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:4333796,0.097,1.03,0.097,44.438,38.595,0.972,14.771
urn:li:member:95497274,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:33495221,0.002,1.188,0.57,0.056,0.002,98.179,0.002
urn:li:member:271228204,0.001,0.001,0.001,99.805,0.148,0.04,0.001
urn:li:member:24399991,0.0,0.0,0.0,0.003,99.982,0.0,0.014
urn:li:member:765383,0.024,0.024,0.024,1.692,94.369,2.615,1.252
urn:li:member:10085460,15.704,0.085,3.992,78.08,0.592,1.461,0.085
urn:li:member:86785174,48.331,14.232,0.17,35.575,0.771,0.752,0.17
urn:li:member:6442106,0.001,0.001,0.062,99.374,0.558,0.001,0.003
urn:li:member:107441541,0.001,0.001,0.001,99.991,0.001,0.004,0.001
urn:li:member:2667759,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:1698348,0.032,29.789,0.032,62.941,7.039,0.032,0.134
urn:li:member:21672672,0.018,5.617,0.058,90.456,3.791,0.042,0.018
urn:li:member:1034318,0.005,0.188,0.655,99.146,0.002,0.002,0.002
urn:li:member:29316791,0.109,6.43,0.109,33.564,53.672,6.008,0.109
urn:li:member:7077022,4.749,0.052,0.001,1.109,94.087,0.001,0.001
urn:li:member:646222,0.002,0.006,0.9,98.941,0.002,0.146,0.002
urn:li:member:15233772,0.136,0.285,1.096,88.896,8.958,0.164,0.464
urn:li:member:16069643,0.006,0.01,0.006,1.118,0.341,98.513,0.006
urn:li:member:92666309,0.0,0.009,0.001,99.988,0.0,0.0,0.001
urn:li:member:11400909,7.149,74.869,2.256,3.688,5.562,3.592,2.884
urn:li:member:744731,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:1485298,88.025,0.029,0.029,7.227,4.344,0.316,0.029
urn:li:member:20400635,0.001,0.01,0.001,99.986,0.001,0.001,0.001
urn:li:member:222825926,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:32796565,0.088,4.118,0.301,85.449,0.261,0.088,9.695
urn:li:member:54734680,0.0,0.001,0.0,0.0,99.997,0.0,0.001
urn:li:member:10267700,9.664,0.024,20.051,70.18,0.033,0.024,0.024
urn:li:member:3531692,0.004,0.007,0.013,99.951,0.018,0.003,0.003
urn:li:member:104693928,0.035,0.008,0.004,0.37,99.513,0.004,0.066
urn:li:member:49369509,0.029,0.004,0.005,99.96,0.001,0.001,0.001
urn:li:member:8095204,0.003,0.005,11.803,88.179,0.003,0.004,0.003
urn:li:member:11320905,0.346,0.23,21.3,1.089,73.087,3.854,0.093
urn:li:member:4117880,0.0,0.255,0.0,99.741,0.003,0.0,0.0
urn:li:member:1254949,1.73,0.031,0.031,96.776,0.068,1.332,0.031
urn:li:member:126222397,0.004,0.005,0.004,5.482,92.934,0.004,1.567
urn:li:member:21226381,0.348,0.002,0.037,99.599,0.012,0.002,0.002
urn:li:member:12341341,0.0,0.0,0.0,99.723,0.277,0.0,0.0
urn:li:member:41794279,0.042,0.04,0.003,99.797,0.106,0.003,0.009
urn:li:member:11541453,0.036,0.002,0.002,99.849,0.002,0.002,0.108
urn:li:member:14744166,0.0,0.034,0.0,99.964,0.001,0.001,0.0
urn:li:member:29394204,0.006,0.006,0.053,99.81,0.015,0.006,0.103
urn:li:member:205911669,0.008,0.022,0.008,0.025,55.678,38.863,5.396
urn:li:member:51947689,0.002,0.002,0.003,98.507,0.015,0.002,1.469
urn:li:member:16201095,0.002,0.033,0.006,99.948,0.002,0.002,0.008
urn:li:member:2988227,0.002,0.005,0.008,99.956,0.002,0.014,0.014
urn:li:member:160102837,0.002,0.003,0.01,99.81,0.17,0.005,0.001
urn:li:member:181705080,1.305,0.504,0.158,2.649,65.193,29.635,0.555
urn:li:member:8997982,0.0,0.0,0.003,99.996,0.0,0.0,0.0
urn:li:member:1661510,0.166,12.655,62.905,19.675,0.077,4.425,0.097
urn:li:member:10185220,0.001,0.003,0.001,76.519,0.088,0.001,23.387
urn:li:member:31934430,0.001,0.031,0.012,99.943,0.001,0.008,0.003
urn:li:member:10704940,0.167,0.023,0.056,99.298,0.109,0.324,0.023
urn:li:member:5684372,0.088,0.032,0.032,0.593,96.122,2.655,0.478
urn:li:member:22933510,0.0,0.001,0.0,99.993,0.0,0.005,0.0
urn:li:member:2969928,0.0,0.002,0.001,99.997,0.0,0.0,0.0
urn:li:member:15081038,0.0,0.0,0.0,99.998,0.001,0.0,0.0
urn:li:member:109342301,1.325,0.258,0.008,98.373,0.004,0.004,0.028
urn:li:member:12065867,0.002,0.027,0.002,2.723,97.243,0.002,0.002
urn:li:member:77261333,0.01,0.005,0.027,99.939,0.001,0.015,0.004
urn:li:member:11167145,0.01,0.217,0.081,78.168,20.951,0.01,0.562
urn:li:member:5286748,0.0,0.0,0.0,99.998,0.001,0.0,0.0
urn:li:member:1789324,0.0,0.037,0.0,99.963,0.0,0.0,0.0
urn:li:member:77745380,0.0,0.002,0.005,0.0,99.992,0.001,0.001
urn:li:member:245666757,0.016,0.016,0.016,96.51,1.535,0.838,1.07
urn:li:member:163139333,0.006,0.001,0.001,99.96,0.029,0.001,0.002
urn:li:member:135557434,0.137,0.079,0.069,5.66,80.902,0.069,13.084
urn:li:member:48865663,0.019,0.971,0.019,28.266,68.836,1.625,0.263
urn:li:member:2215175,0.001,0.03,0.0,99.966,0.0,0.001,0.002
urn:li:member:5938214,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:27301053,0.001,0.0,0.0,99.948,0.051,0.0,0.001
urn:li:member:14404287,0.002,0.0,0.006,99.991,0.0,0.0,0.001
urn:li:member:159060972,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:31407158,0.01,0.008,0.12,9.734,90.002,0.117,0.008
urn:li:member:229611,0.003,0.001,0.001,99.719,0.276,0.001,0.001
urn:li:member:18101551,13.379,74.574,0.482,0.875,8.223,0.102,2.364
urn:li:member:12808747,0.0,1.064,0.0,98.932,0.001,0.002,0.0
urn:li:member:167392362,0.002,0.0,0.024,99.973,0.0,0.0,0.001
urn:li:member:1901046,0.001,0.001,0.019,0.0,0.037,0.0,99.94
urn:li:member:7257184,0.001,0.001,0.004,99.952,0.002,0.001,0.04
urn:li:member:99977592,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:6467101,0.0,0.001,0.187,99.811,0.0,0.0,0.0
urn:li:member:43276338,0.0,0.0,0.001,99.998,0.0,0.001,0.0
urn:li:member:23644066,0.0,0.0,0.0,99.999,0.0,0.0,0.001
urn:li:member:89679455,0.001,0.0,0.004,99.94,0.006,0.048,0.0
urn:li:member:209830759,0.566,0.04,13.859,84.595,0.67,0.04,0.231
urn:li:member:70037108,0.06,0.001,0.001,99.935,0.002,0.001,0.001
urn:li:member:62338918,0.0,0.006,0.0,99.962,0.031,0.0,0.0
urn:li:member:9102306,0.0,0.026,0.001,99.97,0.0,0.0,0.002
urn:li:member:10429617,0.0,0.0,0.0,0.003,99.966,0.0,0.03
urn:li:member:61054676,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:1509064,0.192,0.124,0.124,91.781,6.846,0.124,0.807
urn:li:member:279549945,0.001,0.002,0.001,88.029,11.959,0.001,0.006
urn:li:member:11985734,0.022,0.022,0.022,76.274,23.605,0.033,0.022
urn:li:member:88919962,0.0,0.0,0.0,0.0,99.999,0.0,0.0
urn:li:member:99693819,0.009,0.009,0.009,93.265,2.557,0.009,4.142
urn:li:member:67064509,11.643,8.537,27.22,0.487,48.093,0.487,3.534
urn:li:member:100023129,0.083,0.067,0.067,6.713,91.727,0.487,0.856
urn:li:member:22886467,0.001,0.001,1.247,98.699,0.05,0.001,0.001
urn:li:member:23483589,0.0,0.0,0.0,99.986,0.009,0.0,0.004
urn:li:member:203855829,30.962,0.59,0.18,3.488,63.899,0.18,0.701
urn:li:member:46267054,0.001,0.001,0.001,99.987,0.004,0.001,0.007
urn:li:member:327720379,2.806,29.293,2.295,35.95,1.823,27.271,0.562
urn:li:member:186592583,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:35738618,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:16771179,0.003,0.001,0.012,0.01,99.939,0.002,0.033
urn:li:member:51343838,0.0,0.009,0.0,99.987,0.0,0.0,0.003
urn:li:member:15848612,0.105,3.078,0.018,5.001,91.735,0.018,0.046
urn:li:member:101167186,0.001,0.001,0.152,99.843,0.0,0.0,0.002
urn:li:member:26945865,0.025,0.0,0.0,1.237,98.736,0.0,0.0
urn:li:member:2052980,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:54402606,0.024,0.015,0.069,99.433,0.158,0.015,0.286
urn:li:member:42413006,0.016,0.613,0.001,0.001,98.836,0.531,0.001
urn:li:member:198192737,0.002,0.002,0.002,23.165,76.649,0.002,0.177
urn:li:member:15282350,0.0,0.002,0.0,99.997,0.0,0.001,0.0
urn:li:member:14423550,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:86107557,0.003,0.003,0.144,97.982,0.001,1.866,0.001
urn:li:member:74468955,0.026,0.026,2.234,96.129,0.524,0.913,0.148
urn:li:member:667032,0.001,0.018,0.008,43.405,56.566,0.001,0.001
urn:li:member:22459241,0.0,0.0,0.004,99.953,0.015,0.007,0.021
urn:li:member:67558463,0.022,0.004,0.006,25.037,74.923,0.004,0.004
urn:li:member:4536322,64.216,0.002,0.002,0.084,35.68,0.002,0.013
urn:li:member:53991096,0.007,0.007,0.033,94.807,5.022,0.116,0.007
urn:li:member:26962270,1.314,0.085,0.002,98.532,0.061,0.004,0.002
urn:li:member:23262131,0.001,0.001,0.001,4.013,95.984,0.001,0.001
urn:li:member:31628331,0.011,0.011,0.031,99.707,0.095,0.075,0.07
urn:li:member:881069,0.012,0.124,0.001,0.09,99.768,0.001,0.004
urn:li:member:37124786,0.199,0.023,0.036,99.63,0.008,0.008,0.095
urn:li:member:262406113,0.079,0.0,0.0,99.92,0.0,0.0,0.0
urn:li:member:61899826,0.004,90.823,0.004,8.991,0.005,0.166,0.006
urn:li:member:138253168,0.531,0.038,1.908,96.61,0.028,0.281,0.604
urn:li:member:4268771,0.234,4.316,0.115,95.311,0.007,0.007,0.01
urn:li:member:6824941,14.736,0.293,0.89,1.331,81.2,0.293,1.258
urn:li:member:21756490,0.471,0.123,0.072,25.756,67.487,0.072,6.019
urn:li:member:111286633,0.557,0.08,0.419,47.313,51.381,0.119,0.131
urn:li:member:15991954,0.0,0.0,1.313,98.63,0.001,0.0,0.055
urn:li:member:9137858,0.011,0.002,0.001,0.808,99.176,0.001,0.001
urn:li:member:520909569,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:18565017,0.047,0.042,3.789,20.123,75.877,0.042,0.078
urn:li:member:169380446,0.126,93.813,0.126,5.28,0.126,0.126,0.401
urn:li:member:10679794,0.002,0.001,0.0,99.968,0.029,0.0,0.0
urn:li:member:197190439,0.002,4.376,0.002,95.339,0.098,0.142,0.04
urn:li:member:674090,0.118,0.897,93.659,4.235,0.855,0.118,0.118
urn:li:member:101484625,0.006,0.051,0.006,77.241,0.048,0.006,22.643
urn:li:member:164958949,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:14007766,0.006,0.009,0.003,99.317,0.626,0.036,0.003
urn:li:member:50972469,0.05,0.051,1.954,97.475,0.004,0.462,0.004
urn:li:member:215700247,0.0,0.0,0.0,0.012,99.988,0.0,0.0
urn:li:member:284385755,0.009,0.109,0.009,81.471,17.958,0.315,0.13
urn:li:member:6856990,0.054,0.431,0.01,0.011,97.28,2.205,0.01
urn:li:member:2769787,0.391,0.14,0.072,99.317,0.03,0.018,0.033
urn:li:member:12825378,0.0,0.222,0.0,99.773,0.0,0.0,0.004
urn:li:member:640766,0.0,0.076,0.002,99.921,0.0,0.0,0.0
urn:li:member:22506434,0.008,0.018,0.036,87.284,12.637,0.01,0.008
urn:li:member:28348491,1.579,87.213,0.118,0.403,10.01,0.625,0.052
urn:li:member:332615055,0.012,0.163,0.004,87.253,12.455,0.004,0.108
urn:li:member:971739,1.7,0.009,0.009,65.731,31.898,0.644,0.009
urn:li:member:3960179,0.038,9.24,0.038,0.464,90.143,0.038,0.038
urn:li:member:36535002,28.078,0.071,0.095,0.07,71.17,0.027,0.488
urn:li:member:57486048,0.006,0.034,0.006,0.474,97.24,2.224,0.016
urn:li:member:1001114,0.099,0.002,0.003,6.06,93.829,0.005,0.002
urn:li:member:49657131,0.008,6.845,0.008,0.386,92.261,0.484,0.008
urn:li:member:21322355,0.001,0.0,0.0,0.003,99.996,0.0,0.0
urn:li:member:7652295,0.104,1.074,0.69,24.736,45.029,28.265,0.104
urn:li:member:10653221,0.0,0.0,0.0,99.984,0.011,0.004,0.0
urn:li:member:175655769,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:371209137,0.0,0.0,0.0,99.99,0.008,0.001,0.0
urn:li:member:103589144,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:10904791,0.423,15.781,0.231,0.635,82.628,0.252,0.052
urn:li:member:6892179,0.072,6.987,0.173,90.808,0.055,1.851,0.055
urn:li:member:94425355,0.019,0.05,0.002,97.123,1.642,0.002,1.163
urn:li:member:20456638,0.0,0.003,0.0,1.386,98.607,0.004,0.0
urn:li:member:44836759,0.064,0.002,1.028,98.901,0.002,0.002,0.002
urn:li:member:5297991,0.039,0.088,0.039,29.848,35.665,0.039,34.282
urn:li:member:9764895,0.015,0.06,0.015,12.517,83.391,0.068,3.932
urn:li:member:90593947,0.0,0.0,0.001,99.998,0.0,0.0,0.0
urn:li:member:49248511,0.003,0.001,0.001,0.005,99.804,0.185,0.001
urn:li:member:145389580,1.857,0.682,2.733,94.328,0.039,0.039,0.323
urn:li:member:9546252,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:91314896,0.058,10.617,1.711,83.257,0.058,0.161,4.137
urn:li:member:77635490,0.005,1.923,0.005,97.979,0.004,0.078,0.006
urn:li:member:38801059,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:6976444,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:92473163,0.004,0.001,0.001,0.013,99.937,0.001,0.044
urn:li:member:17032393,2.018,0.032,0.062,0.047,97.704,0.1,0.037
urn:li:member:4185319,1.271,0.079,0.006,22.287,76.297,0.006,0.054
urn:li:member:23870243,0.001,0.005,0.001,97.22,2.498,0.001,0.273
urn:li:member:80431666,0.014,0.004,0.02,93.466,6.487,0.004,0.004
urn:li:member:17945063,0.0,0.007,0.0,0.029,99.963,0.0,0.0
urn:li:member:12580640,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:13444587,0.046,2.143,1.687,4.289,91.451,0.334,0.05
urn:li:member:83719145,0.0,0.001,0.0,99.998,0.0,0.0,0.0
urn:li:member:8657854,0.002,1.161,0.002,98.768,0.063,0.003,0.002
urn:li:member:3155321,0.001,0.004,0.001,99.852,0.141,0.001,0.0
urn:li:member:314857323,0.0,0.0,0.001,0.001,99.987,0.0,0.011
urn:li:member:15352830,0.005,0.008,0.0,99.984,0.0,0.0,0.001
urn:li:member:17036445,0.0,0.0,0.03,99.97,0.0,0.0,0.0
urn:li:member:28703059,1.714,0.015,0.045,96.602,1.519,0.015,0.091
urn:li:member:99531956,0.002,0.003,0.002,0.002,97.617,0.029,2.343
urn:li:member:6428443,8.659,0.268,0.268,21.578,7.428,0.28,61.517
urn:li:member:34334997,0.006,2.111,0.006,97.318,0.006,0.534,0.019
urn:li:member:30999729,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:17947860,0.213,0.66,0.129,48.712,45.852,0.476,3.959
urn:li:member:54838387,0.012,0.418,0.035,98.381,1.082,0.058,0.012
urn:li:member:1459741,0.0,0.0,0.0,99.999,0.0,0.0,0.001
urn:li:member:118803415,0.002,0.007,0.002,74.344,25.548,0.002,0.094
urn:li:member:89801780,0.002,0.002,0.012,96.593,3.355,0.034,0.002
urn:li:member:58365769,21.034,1.08,2.115,0.167,74.476,0.29,0.838
urn:li:member:185394383,0.001,0.07,0.001,99.876,0.002,0.004,0.046
urn:li:member:57510668,0.045,6.296,0.045,86.938,0.05,4.83,1.796
urn:li:member:26925238,28.061,0.068,26.154,0.068,43.594,1.956,0.1
urn:li:member:172940,9.033,0.015,0.015,0.066,88.781,2.077,0.015
urn:li:member:195228499,0.0,0.004,0.115,99.88,0.0,0.0,0.0
urn:li:member:47981261,0.001,0.007,0.001,99.985,0.002,0.001,0.004
urn:li:member:38652018,0.001,0.001,0.189,99.799,0.001,0.008,0.002
urn:li:member:7021549,0.0,0.0,0.0,99.995,0.0,0.0,0.004
urn:li:member:19417030,0.002,0.101,0.002,99.864,0.002,0.028,0.002
urn:li:member:2458076,0.002,0.001,0.0,99.995,0.001,0.0,0.001
urn:li:member:11214643,0.176,4.586,0.188,93.004,0.036,1.973,0.036
urn:li:member:2482977,0.0,0.0,0.0,99.884,0.115,0.0,0.0
urn:li:member:43907865,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:14758784,0.091,0.35,0.072,35.047,64.126,0.242,0.072
urn:li:member:43635602,0.0,0.0,0.001,99.999,0.0,0.0,0.0
urn:li:member:46555928,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:37016869,0.052,0.052,0.151,82.327,3.074,0.052,14.292
urn:li:member:216463852,0.001,0.004,0.001,7.544,92.443,0.003,0.004
urn:li:member:14884032,35.815,0.501,6.788,21.119,0.097,35.582,0.097
urn:li:member:59455415,0.0,0.003,0.0,99.77,0.227,0.0,0.0
urn:li:member:22529023,0.008,0.0,0.001,99.99,0.0,0.0,0.001
urn:li:member:34246,0.0,0.001,0.0,99.998,0.0,0.0,0.0
urn:li:member:13502985,0.013,0.225,0.013,94.073,0.013,5.65,0.013
urn:li:member:2535929,0.008,0.017,0.012,1.278,0.045,98.631,0.008
urn:li:member:5498386,0.001,0.001,0.002,99.995,0.0,0.0,0.0
urn:li:member:218355208,17.942,0.131,2.948,0.118,21.311,0.118,57.432
urn:li:member:200878144,0.0,0.007,0.017,99.974,0.0,0.0,0.001
urn:li:member:70312993,0.0,0.024,0.028,99.945,0.0,0.001,0.0
urn:li:member:58821703,0.041,0.003,0.003,99.921,0.003,0.003,0.028
urn:li:member:984298,0.0,0.0,0.0,99.901,0.099,0.0,0.0
urn:li:member:5390922,0.0,0.109,0.0,99.862,0.028,0.001,0.0
urn:li:member:26539418,0.001,0.006,0.021,99.814,0.001,0.001,0.157
urn:li:member:44040774,1.136,0.011,15.862,82.875,0.093,0.012,0.011
urn:li:member:9304999,0.0,0.0,0.0,99.994,0.0,0.0,0.004
urn:li:member:7996736,0.003,0.055,0.003,99.276,0.656,0.003,0.005
urn:li:member:11683380,17.118,0.119,0.012,74.777,7.928,0.012,0.034
urn:li:member:11017441,0.0,0.0,0.0,99.998,0.0,0.001,0.0
urn:li:member:115955930,0.0,0.0,0.001,99.993,0.0,0.005,0.0
urn:li:member:67828534,0.012,1.297,0.012,4.735,93.905,0.012,0.026
urn:li:member:158007286,0.0,0.0,0.0,99.998,0.0,0.0,0.001
urn:li:member:18534672,0.243,0.502,0.05,99.158,0.034,0.007,0.006
urn:li:member:138494718,0.0,0.0,0.0,0.0,99.885,0.001,0.114
urn:li:member:73905098,0.843,0.037,1.439,97.02,0.106,0.037,0.519
urn:li:member:52693443,0.0,0.0,0.0,99.952,0.007,0.04,0.001
urn:li:member:33755830,0.0,0.025,0.0,99.974,0.0,0.0,0.001
urn:li:member:191464590,0.153,0.153,0.263,60.043,18.393,0.226,20.769
urn:li:member:7751324,3.472,0.012,1.951,94.56,0.002,0.002,0.002
urn:li:member:18163047,0.002,0.002,0.002,99.158,0.793,0.042,0.002
urn:li:member:15761541,0.081,0.081,0.111,22.243,9.876,8.423,59.185
urn:li:member:53021989,0.031,0.069,0.001,99.894,0.001,0.001,0.004
urn:li:member:3442239,6.732,0.268,0.06,92.904,0.012,0.012,0.012
urn:li:member:1481952,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:83986360,3.794,0.001,0.001,0.001,96.187,0.004,0.012
urn:li:member:25790647,0.0,0.205,0.001,99.737,0.0,0.056,0.0
urn:li:member:2565801,0.004,0.001,0.091,99.897,0.001,0.001,0.004
urn:li:member:5655330,0.001,0.061,0.001,99.919,0.001,0.001,0.014
urn:li:member:97717279,0.06,0.038,21.716,74.602,0.038,3.486,0.059
urn:li:member:1341056,0.0,0.0,0.0,99.996,0.0,0.001,0.002
urn:li:member:402419571,0.0,0.0,0.0,99.997,0.0,0.002,0.0
urn:li:member:62675778,0.001,0.001,0.188,99.529,0.004,0.278,0.001
urn:li:member:4730410,0.028,0.001,0.001,76.902,23.049,0.001,0.019
urn:li:member:177371567,0.573,0.008,3.45,76.743,19.21,0.008,0.008
urn:li:member:199752449,0.028,2.748,0.028,94.359,2.704,0.028,0.105
urn:li:member:3988761,0.155,1.624,0.02,57.972,40.19,0.02,0.02
urn:li:member:30326119,0.18,0.003,0.003,3.055,96.671,0.025,0.064
urn:li:member:56393625,0.048,28.557,0.255,70.58,0.048,0.048,0.463
urn:li:member:7534815,0.045,0.081,0.003,99.832,0.003,0.003,0.035
urn:li:member:17909593,0.004,0.0,0.0,99.921,0.073,0.0,0.001
urn:li:member:12354598,4.933,0.382,0.029,84.173,0.053,10.401,0.029
urn:li:member:10820752,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:9352117,97.865,0.217,0.022,1.528,0.337,0.013,0.019
urn:li:member:57377813,0.0,0.008,0.01,99.974,0.0,0.007,0.0
urn:li:member:17509242,0.001,0.015,0.001,4.249,95.733,0.001,0.001
urn:li:member:16914499,0.0,0.0,0.0,99.942,0.058,0.0,0.0
urn:li:member:15269451,0.0,0.004,0.0,99.996,0.0,0.0,0.0
urn:li:member:4816852,0.163,0.005,0.001,99.83,0.0,0.001,0.002
urn:li:member:5319143,0.0,0.0,0.001,99.907,0.0,0.09,0.002
urn:li:member:47362360,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:4838739,0.053,0.178,4.828,56.527,35.845,2.516,0.053
urn:li:member:322781859,0.0,0.084,0.0,99.912,0.0,0.004,0.0
urn:li:member:222242,3.269,0.228,1.533,94.42,0.06,0.06,0.43
urn:li:member:293758642,0.009,0.004,0.001,99.974,0.001,0.008,0.002
urn:li:member:29490212,0.055,97.089,0.01,0.296,2.388,0.153,0.01
urn:li:member:141581081,0.011,0.005,4.548,95.418,0.005,0.007,0.005
urn:li:member:6320028,0.0,0.0,0.0,0.247,99.752,0.0,0.0
urn:li:member:29602267,0.0,0.0,0.0,99.954,0.037,0.007,0.0
urn:li:member:40942348,0.001,0.016,0.014,99.865,0.078,0.001,0.024
urn:li:member:123586389,0.005,0.003,0.001,99.958,0.016,0.001,0.017
urn:li:member:26556214,0.015,26.633,0.015,72.651,0.015,0.015,0.656
urn:li:member:21387659,0.257,19.405,0.005,80.206,0.005,0.119,0.005
urn:li:member:39002140,0.005,0.005,0.005,98.963,0.061,0.099,0.862
urn:li:member:5439225,0.004,0.012,0.004,4.555,94.987,0.434,0.004
urn:li:member:12594854,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:2738824,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:41318675,0.0,0.026,0.0,99.974,0.0,0.0,0.0
urn:li:member:14983330,0.003,0.001,0.0,99.994,0.0,0.0,0.002
