m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:97278338,0.0,0.0,0.002,99.997,0.0,0.0,0.001
urn:li:member:64278544,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:239316135,0.012,0.014,2.039,0.615,7.209,90.098,0.012
urn:li:member:5694882,0.658,71.751,0.03,27.334,0.061,0.136,0.03
urn:li:member:10293152,0.01,0.01,0.01,0.01,24.966,0.246,74.747
urn:li:member:87073592,0.113,0.316,0.058,37.585,61.119,0.058,0.75
urn:li:member:35344696,0.002,0.022,0.017,3.799,96.157,0.002,0.002
urn:li:member:12942701,18.747,0.017,0.417,0.017,80.567,0.219,0.017
urn:li:member:32888110,0.005,0.02,0.123,99.248,0.559,0.033,0.011
urn:li:member:6802670,0.002,0.008,0.0,99.984,0.002,0.0,0.002
urn:li:member:513526,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:139366364,0.002,0.056,0.176,99.425,0.002,0.336,0.002
urn:li:member:10754003,0.0,0.004,0.0,99.967,0.003,0.002,0.023
urn:li:member:66918,0.0,0.006,0.0,99.994,0.0,0.0,0.0
urn:li:member:99549278,0.002,0.002,0.002,12.498,87.491,0.002,0.003
urn:li:member:34119363,0.0,0.0,0.001,99.995,0.0,0.001,0.003
urn:li:member:21062839,0.0,0.0,0.01,99.988,0.0,0.001,0.0
urn:li:member:32120722,0.0,0.0,0.0,99.999,0.0,0.001,0.0
urn:li:member:75968497,0.009,0.025,0.694,99.047,0.207,0.009,0.009
urn:li:member:3004,0.0,0.0,0.0,99.999,0.0,0.0,0.001
urn:li:member:3542018,0.042,0.254,0.042,1.088,58.617,0.042,39.914
urn:li:member:10255325,3.343,3.984,66.396,2.721,0.148,23.17,0.237
urn:li:member:61481684,0.0,0.002,0.0,99.998,0.0,0.0,0.0
urn:li:member:19646536,0.007,0.084,12.014,87.884,0.004,0.004,0.004
urn:li:member:242707540,0.0,0.001,0.0,99.998,0.0,0.0,0.0
urn:li:member:67312981,0.0,0.0,0.0,0.0,99.995,0.0,0.004
urn:li:member:236952783,0.001,0.001,0.001,49.765,50.229,0.003,0.001
urn:li:member:13888058,0.0,0.0,0.001,99.995,0.0,0.003,0.0
urn:li:member:10460759,0.0,0.0,0.0,99.988,0.012,0.0,0.0
urn:li:member:7605808,0.193,0.018,0.024,96.603,0.815,2.331,0.018
urn:li:member:16187178,1.37,80.497,0.195,14.004,0.195,0.195,3.545
urn:li:member:7253113,3.224,3.536,24.764,59.409,0.524,8.419,0.123
urn:li:member:185634643,0.001,0.01,0.001,99.937,0.039,0.008,0.005
urn:li:member:2307004,3.006,94.691,0.016,2.22,0.006,0.054,0.006
urn:li:member:108443043,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:3407867,0.098,0.146,0.003,99.562,0.003,0.185,0.003
urn:li:member:7694960,0.001,0.001,0.0,99.997,0.001,0.001,0.0
urn:li:member:298522364,0.0,0.001,0.011,99.986,0.0,0.0,0.001
urn:li:member:8425313,0.017,0.055,0.009,14.3,85.456,0.149,0.013
urn:li:member:115601422,0.001,0.001,0.024,99.954,0.001,0.017,0.001
urn:li:member:71679226,0.0,0.006,0.0,99.99,0.0,0.0,0.004
urn:li:member:87050505,0.01,1.583,0.043,98.328,0.01,0.01,0.014
urn:li:member:17857755,0.032,0.055,0.035,99.831,0.03,0.006,0.012
urn:li:member:29791326,0.005,0.132,0.004,99.761,0.004,0.066,0.028
urn:li:member:126961764,0.0,0.0,0.0,99.992,0.005,0.0,0.003
urn:li:member:4660262,0.002,0.002,0.002,87.04,12.847,0.104,0.002
urn:li:member:6754276,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:3396732,0.0,0.001,0.0,99.947,0.043,0.006,0.003
urn:li:member:60618215,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:225510910,0.001,0.008,0.001,99.989,0.0,0.0,0.0
urn:li:member:21633329,0.034,0.133,0.297,0.034,32.859,0.034,66.607
urn:li:member:6367286,28.261,0.189,0.189,0.254,10.442,0.189,60.477
urn:li:member:382068939,0.161,97.494,0.033,0.353,1.335,0.55,0.075
urn:li:member:2382403,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:13610301,0.016,2.772,0.016,9.208,13.231,74.742,0.016
urn:li:member:419081,0.393,2.822,6.859,17.948,70.088,1.208,0.682
urn:li:member:7312590,0.007,0.131,0.055,99.753,0.039,0.01,0.005
urn:li:member:19496343,0.003,0.005,0.003,63.212,36.673,0.003,0.103
urn:li:member:206866,6.66,0.012,0.012,84.731,8.561,0.012,0.012
urn:li:member:4592614,0.0,0.093,0.0,99.903,0.003,0.0,0.0
urn:li:member:41192532,0.021,0.002,0.004,99.972,0.0,0.0,0.0
urn:li:member:19221421,0.006,0.011,0.006,0.512,95.676,0.006,3.784
urn:li:member:454853507,0.001,0.0,0.001,99.993,0.004,0.0,0.001
urn:li:member:12070921,0.0,0.853,0.0,99.146,0.0,0.0,0.001
urn:li:member:45773615,0.596,0.035,0.034,1.596,97.671,0.034,0.034
urn:li:member:139182161,0.003,0.116,0.003,89.452,10.401,0.003,0.023
urn:li:member:193252816,0.012,0.016,0.012,0.458,98.487,0.013,1.001
urn:li:member:14088691,0.101,60.183,0.733,16.856,15.973,4.378,1.776
urn:li:member:6565592,0.0,0.232,0.0,0.121,99.646,0.0,0.0
urn:li:member:17091271,0.529,0.018,0.038,99.321,0.03,0.048,0.015
urn:li:member:590239703,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:82095361,0.001,0.007,0.001,99.742,0.019,0.23,0.001
urn:li:member:30732220,0.101,0.005,0.005,99.829,0.011,0.044,0.005
urn:li:member:193852426,0.0,0.004,0.0,99.994,0.0,0.0,0.001
urn:li:member:130670332,0.007,3.796,0.007,96.143,0.027,0.011,0.01
urn:li:member:24553630,0.776,0.017,0.017,30.96,66.058,0.017,2.156
urn:li:member:59976328,0.0,0.067,0.0,99.93,0.002,0.0,0.0
urn:li:member:57650945,0.733,0.504,0.072,92.99,1.392,4.086,0.223
urn:li:member:24851768,0.0,0.0,0.001,99.999,0.0,0.0,0.0
urn:li:member:32330,1.582,12.801,0.055,82.825,1.801,0.099,0.837
urn:li:member:7560092,0.0,0.036,0.0,99.91,0.051,0.0,0.001
urn:li:member:230067906,0.371,0.003,98.357,0.087,1.083,0.003,0.095
urn:li:member:13064916,0.012,0.484,0.886,98.574,0.005,0.034,0.005
urn:li:member:111180990,0.001,0.001,0.003,99.885,0.001,0.001,0.109
urn:li:member:12596202,0.0,0.001,0.0,99.987,0.0,0.009,0.003
urn:li:member:55350201,0.018,0.02,0.003,99.935,0.003,0.017,0.003
urn:li:member:10723448,0.0,0.0,0.064,99.766,0.0,0.0,0.169
urn:li:member:106143766,0.0,0.004,0.003,99.99,0.0,0.0,0.003
urn:li:member:4101709,0.0,0.0,0.0,97.004,2.882,0.0,0.113
urn:li:member:42885384,0.0,0.0,0.0,0.451,99.549,0.0,0.0
urn:li:member:102496183,0.011,0.011,0.023,1.395,94.984,0.503,3.073
